Tool,Type,Topic,Language,Input,Format input,Output,Format output,Design,Build,Test,Learn,Country/Node,Sequence (i),Protein structure (o),In_DBTL_Cycle,DB,DT,DL,BT,BL,TL,DBT,DBL,DTL,BTL,DBTL
Cas-OFFinder,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BitMapperBS,,,,DNA sequence,,Alignment,BAM,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bam-readcount,,,,Alignment,BAM,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
triku,"Command-line tool, Library","Gene expression, Cell biology, RNA-Seq, Gene transcripts, Ontology and terminology",,,,,,0,0,1,0,Marcos J. Araúzo-Bravo,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tRFTars,Web application,"Functional, regulatory and non-coding RNA, Gene transcripts, RNA-Seq, Gene expression, PCR experiment",,,,,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TRex,,"Ecology, Zoology, Model organisms, Imaging",,,,,,0,0,0,0,"Tristan Walter, Iain D Couzin",0,0,0,0,0,0,0,0,0,0,0,0,0,0
treelikeness,"Command-line tool, Library","Phylogenetics, Statistics and probability, Structure analysis",R,,,,,0,0,0,1,Caitlin Cherryh,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SuperHistopath,Command-line tool,"Pathology, Machine learning, Imaging, Oncology, Genotype and phenotype",,,,,,0,0,1,1,"Konstantinos Zormpas-Petridis, Ioannis Roxanis, Yann Jamin, Yinyin Yuan",0,0,1,0,0,0,0,0,1,0,0,0,0,0
StegArmory,"Library, Command-line tool","Imaging, Data mining, Literature and language",Python,,,,,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SAILER,"Command-line tool, Library","Epigenomics, Cell biology, Transcription factors and regulatory sites, Machine learning, Protein expression",,,,,,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RGB-D,,"Machine learning, Imaging, Mapping",MATLAB,,,,,0,0,0,1,Deng-Ping Fan,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Open Brain Consent,,"Medical imaging, Biobank, Data security","Shell, Python",,,,,0,0,0,0,"Yaroslav O. Halchenko, Peer Herholz, Stephan Heunis, Cyril R Pernet",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Protein Ensemble Database,"Web API, Web application, Database portal","Protein structure analysis, Protein disordered structure",,"UniProt accession, UniProt keyword",plain text format (unformatted),"Protein structure, Sequence features","JSON, HTML, PDF",0,0,0,0,Italy,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MethylDackel,Command-line tool,Epigenomics,C,Nucleic acid sequence alignment,BAM,Position-specific scoring matrix,bedgraph,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DiffBind,"Command-line tool, Library",ChIP-seq,R,,,,,0,0,0,0,Rory Stark,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IsoSeq3,"Command-line tool, Desktop application, Workflow",Gene transcripts,,,,,,0,0,0,0,Pacific Biosciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horovod,Workbench,Machine learning,Python,,,,,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The GNU Scientific Library,Library,,"C, C++",,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eval,Suite,"Gene transcripts, Statistics and probability, Genomics",Perl,,,,,0,0,0,1,"Michael R Brent, Evan Keibler",0,0,1,0,0,0,0,0,0,0,0,0,0,0
GARLI,"Desktop application, Command-line tool",Phylogeny,C++,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HiRise,"Script, Workflow","Mapping, Sequence assembly, Whole genome sequencing","Python, Shell",,,,,0,1,0,0,Dovetail Genomics,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BlastKOALA,Web application,"Metagenomics, Molecular interactions, pathways and networks",,,,,,0,0,0,0,Minoru Kanehisa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DendroPy,Library,"Phylogenetics, Phylogenomics",Python,,,,,0,0,0,0,Jeet Sukumaran,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glimmer-MG,Script,"Metagenomics, Metagenomic sequencing","C++, Python","DNA sequence, Gene report",,"Gene report, Protein sequence, Sequence motif, Sequence length, Codon usage data, Nucleic acid property","FASTA, Textual format",0,0,0,0,David R. Kelley,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hclust2,Command-line tool,"Microbiology, Metagenomics",Python,,,,,0,0,0,0,"Segata Lab, Francesco Asnicar, Francesco Beghini",0,0,0,0,0,0,0,0,0,0,0,0,0,0
BioLib,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lep-Anchor,Command-line tool,"Mapping, Sequence assembly, Genotype and phenotype",,,,,,0,1,1,0,Pasi Rastas,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Lep-MAP3,Command-line tool,Mapping,"Java, AWK",DNA sequence,"VCF, BAM",,,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GroopM,Command-line tool,"Metagenomics, Sequence assembly",Python,,,,,0,1,0,0,Mike Imelfort,0,0,1,0,0,0,0,0,0,0,0,0,0,0
odysseyOA,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAESTROweb,Web service,Computational biology,,,,,,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
buildH,"Command-line tool, Library",Structure analysis,Python,Lipid structure,"PDB, Trajectory format",Lipid structure,"PDB, Trajectory format",0,0,0,0,"Hubert Santuz, Amélie Bâcle, Pierre Poulain, Patrick Fuchs",0,0,0,0,0,0,0,0,0,0,0,0,0,0
3DRS,Web application,"Structural biology, Computational biology, Structure analysis, Data visualisation, Biomolecular simulation","JavaScript, PHP","Protein structure, Nucleic acid structure, Trajectory data","PDB, netCDF, BinPos, XTC, trr",Plot,HTML,1,0,1,0,Spain,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DRAR-CPI,Web application,"Small molecules, Safety sciences, Drug discovery, Preclinical and clinical studies, Drug development",,,,,,1,0,0,0,DRAR-CPI Support,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Unicorn Papers,"Library, Database portal","Informatics, Computer science, Data mining, Literature and language",,,,,,1,0,0,0,Lukasz P. Kozlowski,0,0,1,0,0,0,0,0,0,0,0,0,0,0
fCite,Web service,"Informatics, Data mining, Data visualisation, Machine learning, Literature and language",,PubMed ID,,Citation,HTML,1,0,1,1,Lukasz P. Kozlowski,0,0,1,0,1,1,0,0,1,0,0,1,0,0
VariantCalling-at-Scale,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GhostKOALA,Web application,"Molecular interactions, pathways and networks, Metagenomics, Metagenomic sequencing",,Protein sequence,FASTA,"Gene report, Taxonomic classification",,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GenomicConsensus,Script,Mapping,"Python, Perl",,,,,0,0,0,0,Pacific Biosciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOCUS,Command-line tool,"Metagenomics, Metagenomic sequencing",Python,Sequence,"FASTA, FASTQ",Taxonomic classification,TSV,0,0,0,0,Genivaldo Gueiros Z. Silva,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LinkedPipes ETL,"Workflow, Workbench, Web application","Computer science, Informatics, Data integration and warehousing, Data submission, annotation and curation, Workflows, Data identity and mapping","JavaScript, Java",Data reference,"JSON, RDF format, XML, HTML, DSV",Data reference,"HTML, JSON, RDF format, XML, YAML",0,0,0,1,"Jakub Klímek, Petr Škoda",0,0,1,0,0,0,0,0,0,0,0,0,0,0
funannotate,Workflow,Genomics,Python,,,,,0,0,0,0,Jon Palmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FlashLFQ,"Command-line tool, Desktop application","Proteomics experiment, Proteomics",C#,"Mass spectrometry data, Peptide identification","Thermo RAW, Waters RAW, TSV, Textual format",,,0,0,1,0,Smith Research Group,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ExaBayes,Suite,Phylogenetics,C++,,,,,0,0,0,0,"The Exelixis Lab, Andre J. Aberer",0,0,0,0,0,0,0,0,0,0,0,0,0,0
EasyBuild,Workflow,Computer science,"Shell, Python",,,,,0,0,0,0,EasyBuild Community,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ClusteringSuite,Suite,Statistics and probability,"C++, C",,,,,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ChunkChromosome,Script,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraNCE,Workflow,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bamkit,Suite,Sequence analysis,Python,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONSTANd,Library,"Proteomics, Proteomics experiment, Transcriptomics, Workflows, Sequence analysis","Python, R",,,,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mokapot,Command-line tool,"Proteomics, Small molecules, Machine learning, Proteomics experiment, Sequence analysis",Python,,,,,1,0,1,1,,0,0,1,0,1,1,0,0,1,0,0,1,0,0
rawrr,Library,"Proteomics experiment, Proteomics, Workflows",R,,,,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RawBeans,Command-line tool,"Proteomics experiment, Proteomics, Sequence analysis",Python,,,,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Inflect,Library,"Proteomics, Proteomics experiment, Protein interactions, Sequence analysis, Protein folding, stability and design",R,,,,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OpenTIMS,Command-line tool,"Lipids, Proteomics experiment, Metabolomics, Proteomics, Sequence analysis",C++,Mass spectrum,raw,,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PSpecteR,Command-line tool,"Proteomics, Proteomics experiment, Protein modifications, Small molecules, Sequence analysis",R,"Mass spectrum, Spectrum",mzML,,,1,0,1,0,,0,0,1,0,1,0,0,0,0,0,0,0,0,0
InterMetalDB,Web application,"Protein interactions, Protein binding sites, Sequence assembly, Small molecules, Transcription factors and regulatory sites",,,,,,1,1,0,0,,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Allpaths-LG,Command-line tool,"Sequence assembly, Genetic variation",C++,,,,,0,1,0,0,David B. Jaffe,0,0,1,0,0,0,0,0,0,0,0,0,0,0
metaQuantome,Suite,"Proteomics, Metatranscriptomics, Microbial ecology, Proteomics experiment, Metagenomics",,"Peptide identification, Expression data, Taxonomic classification, GO concept ID (molecular function), EC number",Textual format,"GO concept ID (molecular function), Expression data, Taxonomy",Image format,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LM-GlycomeAtlas,Web application,"Microarray experiment, Drug discovery, Metabolomics, Biochemistry, Proteomics, Imaging, Gene expression",,,,,,0,0,1,0,"Chiaki Nagai-Okatani, Atsushi Kuno",0,0,1,0,0,0,0,0,0,0,0,0,0,0
LinX,Desktop application,"Chemistry, Proteomics experiment, Small molecules, Nucleic acids, Protein modifications, Proteomics",Java,"Sequence, Reaction data",Textual format,Data,Textual format,1,0,1,0,Czech Republic,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Spritz,Command-line tool,"Proteogenomics, Protein modifications, Proteomics, Proteomics experiment, Small molecules, RNA-Seq, Transcriptomics",,,,,,1,0,1,0,Lloyd M. Smith,0,0,1,0,1,0,0,0,0,0,0,0,0,0
MegaGO,Web application,"Metatranscriptomics, Proteomics, Ontology and terminology, Microbial ecology, Metagenomics",,,,,,0,0,1,0,Henning Schiebenhoefer,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XlinkCyNET,,"Protein interactions, Proteomics experiment, Protein folds and structural domains, Protein expression, Proteomics, Small molecules, Protein modifications",Java,,,,,1,0,1,0,"Diogo Borges Lima, Fan Liu",0,0,1,0,1,0,0,0,0,0,0,0,0,0
SPACEPro,Command-line tool,"Proteomics, Proteomics experiment, Small molecules, Protein sites, features and motifs, Sequence analysis",C++,Sequence search results,pepXML,Report,"JSON, Textual format",1,0,1,0,,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Quandenser+Triqler,,"Proteomics, Proteomics experiment, Sequence analysis, Small molecules, Machine learning, Cell biology, Molecular interactions, pathways and networks","C++, Shell, Python",,,,,1,0,1,1,Lukas Käll,0,0,1,0,1,1,0,0,1,0,0,1,0,0
OpenPonk,Desktop application,Software engineering,Smalltalk,,,,,0,1,0,0,Czech Republic,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NVIDIA cuDNN,Library,Machine learning,,,,,,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
e-hir GAN,Command-line tool,"Machine learning, Imaging, Pathology",Python,,,,,0,0,0,1,Youngwook Kim,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HERVd,"Web application, Database portal","Nucleic acid sites, features and motifs, Gene and protein families, Virology","Ruby, SQL, Python",Genome report,FASTA,,,0,0,0,0,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liver segmentation using levelset algorithm,Library,"Tomography, Biophysics, Biomedical science",MATLAB,,,,,0,0,0,0,Matlab Mebin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCOPE,Library,Mathematics,MATLAB,,,,,0,0,0,0,Rex Cheung,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recognizing Far-Near Relations of Clusters by GDEM,Library,"Statistics and probability, Machine learning",MATLAB,,,,,0,0,0,1,Kaijun Wang,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Digital encoding and decoding in DNA sequences,Library,"DNA, Bioinformatics",MATLAB,,,,,0,0,1,1,Adithya Popuri,0,0,1,0,0,0,0,0,1,0,0,0,0,0
SNP marker(s) contingency table(s),Library,"DNA polymorphism, GWAS study, Chemistry",MATLAB,,,,,1,0,0,0,Mohammed Sadeq Al-Rawi,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Snakes: Active Contour Models,Library,"Imaging, Biomedical science, Biology",MATLAB,,,,,0,1,0,0,Ritwik Kumar,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hypergeometric cummulative distribution with permutation testing,Library,"Statistics and probability, Genetics",MATLAB,,,,,0,1,0,1,Michael Boedigheimer,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Use DICOM RT for 3D Semantic Segmentation of Medical images,Library,"MRI, Tomography, Biophysics, Medical imaging, Machine learning",MATLAB,,,,,0,0,0,1,Takuji Fukumoto,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Calcifications Attenuation in Left Coronary Artery CT Images Using FDA Domain,Library,"MRI, Tomography, Transcription factors and regulatory sites, Medical imaging, Biomedical science",MATLAB,,,,,0,0,0,0,Mithun Kumar PK.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nonlinear Fit of Michaelis-Menten model,Library,Biotherapeutics,MATLAB,,,,,0,0,0,0,Housam Binous,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacterial load quantification,Library,"Imaging, Biomedical science, Biology",MATLAB,,,,,0,1,0,0,Abigail Reens,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bm(cm),Library,Statistics and probability,MATLAB,,,,,0,0,0,1,David Powers,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Track The Global Spread of Covid-19 (Coronavirus) in MATLAB,Library,"Public health and epidemiology, Biomedical science, Biology",MATLAB,,,,,0,1,0,0,Kevin Chng,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Estimate LDL cholesterol,Library,Microbiology,MATLAB,,,,,0,0,0,0,Igor Podlubny,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPCC Solution of Genetic Regulatory Circuit Design Problems,Library,"Synthetic biology, Mathematics",MATLAB,,,,,1,0,0,0,James Allison,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HelTomo,Library,"Tomography, Biophysics, Biomedical science, Mathematics",MATLAB,,,,,0,0,0,0,Alexander Meaney,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Circulant Embedding method for generating stationary Gaussian field,Library,Statistics and probability,MATLAB,,,,,0,0,0,1,Zdravko Botev,0,0,1,0,0,0,0,0,0,0,0,0,0,0
High intensity focused ultrasound simulator,Library,"Mathematics, Echography, Biomedical science, Biology",MATLAB,,,,,0,1,0,0,Josh Soneson,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dose response,Library,Biotherapeutics,MATLAB,,,,,0,0,0,0,Carlos Evangelista,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyperpolarized MRI Toolbox,Suite,"MRI, Neurobiology, Biology",MATLAB,,,,,0,1,0,0,Peder Larson,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Normal Tissue Complication Probability,Library,"Biophysics, Statistics and probability, Medical biotechnology",MATLAB,,,,,0,0,0,1,Rex Cheung,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Raster Image Correlation Spectroscopy (RICS),Library,"NMR, Chemistry, Light microscopy, Biomedical science",MATLAB,,,,,1,0,0,0,Molly Rossow,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KANTOO,Library,"Metagenomics, Sequencing, Workflows, Biomedical science, Bioinformatics",MATLAB,,,,,0,1,0,1,Turner Conrad,0,0,1,0,0,0,0,1,0,0,0,0,0,0
COVID-19 Propagation Simulator (Simulink),Library,"Public health and epidemiology, Biomedical science, Biology",MATLAB,,,,,0,1,0,0,Pavel Roslovets,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Skeleton3D,Library,"Biomedical science, Imaging, Biology",MATLAB,,,,,0,1,0,0,Philip Kollmannsberger,0,0,1,0,0,0,0,0,0,0,0,0,0,0
scaledata,Library,"Proteomics experiment, Metabolomics, Mathematics",MATLAB,,,,,0,0,1,0,Joris Meurs,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Chronic Lemphocytic Leukemia Cell Segmentation Using Watershed and optimal Thresholding,Library,"Biomedical science, Imaging, Cell biology",MATLAB,,,,,0,0,0,0,Emad Mohammed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HWEtest,Library,"Mathematics, Biotherapeutics",MATLAB,,,,,0,0,0,0,Giuseppe Cardillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Viterbi Algorithm,Library,"Bioinformatics, Computational biology, Biotherapeutics",MATLAB,,,,,1,0,0,1,Jacob Shin,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Pseudo B-Mode Ultrasound Image Simulator,Library,"Echography, Medical imaging, Biomedical science, Biology",MATLAB,,,,,0,1,0,0,Debdoot Sheet,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Multifocus image fusion using phase congruency,Library,"Imaging, Biomedical science, Biology",MATLAB,,,,,0,1,0,0,Kun Zhan,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Image Acquisition Toolbox Support Package for Point Grey Hardware,Library,"Imaging, Biomedical science, Data acquisition, Biology",MATLAB,,,,,0,1,0,0,MathWorks Image Acquisition Toolbox Team,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Counting spanning trees and flacets of a graph,Library,"Mathematics, Biomedical science, Biology, Ontology and terminology, Microarray experiment",MATLAB,,,,,0,1,0,0,Manuel Aprile,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DeltaProt,Suite,"Comparative genomics, Genomics, Metagenomics",MATLAB,,,,,1,0,0,0,Steinar Thorvaldsen,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cumulative Mann-Kendall trend test,Library,"Statistics and probability, Protein expression, Model organisms",MATLAB,,,,,0,0,0,1,Steinar Thorvaldsen,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Collateral Missing Value Estimation,Library,"Biomedical science, Statistics and probability, Microarray experiment, Biology",MATLAB,,,,,0,1,0,1,Muhammad Shoaib Sehgal,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Freehand Prostate Annotation,Library,"Medical imaging, Biomedical science, Oncology, Biology",MATLAB,,,,,0,1,0,0,Guillaume Lemaitre,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SoluProt,Web application,"Proteomics, Machine learning, Protein properties, Proteins","PHP, JavaScript, Python",Protein sequence,FASTA,Protein solubility,,0,0,1,1,Czech Republic,1,0,1,0,0,0,0,0,1,0,0,0,0,0
FireProt,Web application,"Structural biology, Protein structure analysis, Proteins","JavaScript, Java",Protein structure,PDB,"Protein structure, Sequence alignment (protein), Protein sequence (raw), Protein structure report","PDB, FASTA, plain text format (unformatted), PDF",0,0,0,0,Czech Republic,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FireProt ASR,Web application,"Proteomics, Phylogenetics, Proteins","JavaScript, Java, Python",Protein sequence,FASTA,"Protein sequence alignment, Protein sequence, Phylogenetic tree","FASTA-aln, FASTA, newick",0,0,1,0,Czech Republic,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ReadSTP,Library,"Imaging, Chemistry, Physics, Biomedical science, Biology",MATLAB,,,,,1,1,0,1,Mindaugas Rackaitis,0,0,1,1,0,1,0,1,0,0,1,0,0,0
Retinal blood vessel extractor,Library,"Imaging, Mathematics, Biomedical science, Biology",MATLAB,,,,,0,1,0,0,Ebtesam Ahmed,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Seri Fourier Gui,Library,"Biomedical science, Biology",MATLAB,,,,,0,1,0,0,Sayed Meysam Hosseini,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zeiss Laser Scanning Confocal Microscope LSM file reader,Library,"Imaging, Physics, Biomedical science, Biology",MATLAB,,,,,0,1,0,1,CY Y,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Branching Process Simulator,Library,"Biomedical science, Biology",MATLAB,,,,,0,1,0,0,Plamen Trayanov,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NetLogo-Matlab Extension,Library,"Biomedical science, Mathematics, Biology",MATLAB,,,,,0,1,0,0,Matt Biggs,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SimpleMScanner,Library,"Neurobiology, Imaging, Data acquisition",MATLAB,,,,,0,0,0,0,Rob Campbell,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faster ROC-AUC,Library,Statistics and probability,MATLAB,,,,,0,0,0,1,Enric Junque de Fortuny,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fast Gaussian Point Spread Function Fitting (MEX),Library,"Physics, Imaging, Biomedical science, Biology",MATLAB,,,,,0,1,0,1,Simon Christoph Stein,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Multi-FindCore Toolbox,Suite,"NMR, Protein structure analysis, Statistics and probability",MATLAB,,,,,0,0,0,1,David Snyder,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CGDS-Cancer Genomics Toolbox,Library,"Oncology, Biology, Genomics, Bioinformatics",MATLAB,,,,,0,1,0,1,Benjamin Gross,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Graph package,Library,"Mathematics, Biomedical science, Biology",MATLAB,,,,,0,1,0,0,Kyaw Tun,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MATLAB biomech functions,Library,"Biomedical science, Physics, Biology",MATLAB,,,,,0,1,0,1,cedric MORIO,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Colour Normalisation Using PCA,Library,"Imaging, Biomedical science, Biology",MATLAB,,,,,0,1,0,0,DC,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sequence Assembly App,Library,"RNA immunoprecipitation, Sequence assembly, Sequencing, Structure analysis",MATLAB,,,,,0,1,0,0,Turner Conrad,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Integral Equation Solver,Library,"Biomedical science, Biology, Oncology",MATLAB,,,,,0,1,0,0,Plamen Trayanov,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SimBiologyNCA,Library,"Drug metabolism, Biology",MATLAB,,,,,0,1,0,0,MathWorks SimBiology Team,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jonckheere-Terpstra test on trend,Library,,MATLAB,,,,,0,0,0,0,Giuseppe Cardillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fast AUC,Library,,MATLAB,,,,,0,0,0,0,Lior Kirsch,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNO Biomechanics Nonlinear Analysis Toolbox,Suite,"Biomedical science, Mathematics, Physics, Biology",MATLAB,,,,,0,1,0,1,UNO Biomechanics,0,0,1,0,0,0,0,1,0,0,0,0,0,0
AmtDB,Database portal,Genomics,Python,Nucleic acid sequence,Textual format,Sequence features,Textual format,0,0,0,0,Czech Republic,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DGT,Library,"Imaging, Biomedical science, Biology",MATLAB,,,,,0,1,0,0,Liangjian Deng,0,0,1,0,0,0,0,0,0,0,0,0,0,0
fitVirusCOVID19,Library,"Public health and epidemiology, Biomedical science, Mathematics, Biology",MATLAB,,,,,0,1,0,0,milan batista,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SIR Model of COVID19 for India with real time tracking,Library,"Public health and epidemiology, Evolutionary biology, Biomedical science",MATLAB,,,,,0,0,0,0,Siddharth Kumar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clustering by MATLAB GA toolbox,Library,"Mathematics, Proteomics experiment",MATLAB,,,,,0,0,1,0,RMS Danaraj,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Multiband fMRI Volume Censoring,Library,"MRI, Neurobiology, Biology",MATLAB,,,,,0,1,0,0,John Williams,0,0,1,0,0,0,0,0,0,0,0,0,0,0
faster perfcurve,Library,,MATLAB,,,,,0,0,0,0,Hanan Shteingart,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Speckle Noise Reduction in Ultrasound Images,Library,"Echography, MRI, Medical imaging, Biomedical science, Biology",MATLAB,,,,,0,1,0,0,Ashish Meshram,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DNAtranslator,Library,"Protein expression, Gene transcripts, DNA",MATLAB,,,,,0,0,1,0,Giuseppe Cardillo,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DFDL,Library,"Medical imaging, Biomedical science, Biology",MATLAB,,,,,0,1,0,0,Tiep Vu,0,0,1,0,0,0,0,0,0,0,0,0,0,0
COVID19 Modeling,Library,"Public health and epidemiology, Pathology, Biomedical science, Mathematics, Biology",MATLAB,,,,,0,1,0,0,JM2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gillespie Stochastic Simulation Algorithm,Library,"Chemistry, Systems biology, Enzymes",MATLAB,,,,,1,0,0,0,Nezar,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Estimating a smooth precision-recall curve,Library,"Statistics and probability, Biological databases",MATLAB,,,,,0,0,0,1,Kay H. Brodersen,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SimBiology model for PK PD of anticancer drugs,Library,"Drug metabolism, Oncology",MATLAB,,,,,0,0,0,0,MathWorks SimBiology Team,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skin lesion melanoma classification using neural networks,Library,"Machine learning, Oncology, Imaging",MATLAB,,,,,0,0,0,1,Matlab Mebin,0,0,1,0,0,0,0,0,0,0,0,0,0,0
One Hot Encoding of a Categorical Variable in a Table,Library,"Machine learning, Biomedical science, Biology",MATLAB,,,,,0,1,0,1,Christopher Stokely,0,0,1,0,0,0,0,1,0,0,0,0,0,0
EMGONOFF,Library,,MATLAB,,,,,0,0,0,0,Kieran Coghlan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ProteinContactMap,Library,"Physics, Mapping, Biomedical science, Biology",MATLAB,,,,,0,1,0,1,Guangdi Li,0,0,1,0,0,0,0,1,0,0,0,0,0,0
